title_id,genre,sort_code,weekdays,length,subscribers,rating,views,likes,status,daily_pass,title,authors,synopsis,weekdays_all,sort_code_likes,sort_code_subscribers,sort_code_rating,sort_code_views
2207,HORROR,75,SUNDAY,84,141505,9.4,5964427,790832,COMPLETED,FALSE,BRAIN Anthology,Various Artists,"Are you ready for BRAIN Anthology? From mind-bending stories, to disturbing tales of our most primal fears, this anthology is designed to make you think and keep you up at night! New stories released every Saturday. Featuring stories from the 2020 Short Story Contest.","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,SUNDAY",75,97,97,85
283,DRAMA,99,SUNDAY,56,87651,9.75,5644699,380431,COMPLETED,FALSE,Kids Are All Right,HP56,"This story tells you the value and importance of family; it will also remind you of the happiness and sadness, joys and sorrows of childhood.",SUNDAY,99,117,36,86
1433,FANTASY,105,SUNDAY,30,217106,9.34,5537660,350060,COMPLETED,FALSE,Dragnarok Descendants,"KPJ,Magmi","Chosen by the dragon gods, Kirym, a man who wields great power, must go on a quest to save his family, his country, and his way of life. Up against a rogue dragon god and flesh eating monsters, Kirym and his friends must race against time... or lose everything.",SUNDAY,105,74,103,87
3066,FANTASY,78,SUNDAY,34,215503,9.54,5143993,715565,ONGOING,FALSE,The Matchmaking Baby Princess,"Jimmy Sin,Karin Park","Young baby Amelia moves into the palace of her tyrant uncle, Tessa Illuminas, for her aunt Lucinda??s sake. As part of her new life, Amelia must now deal with conspiracies and court intrigue on top of trying to be a matchmaker of love for her aunt. Can the baby princess overcome all of this and have a happy ending?",SUNDAY,78,75,77,88
3114,DRAMA,87,SUNDAY,7,158625,9.83,5075690,558004,COMPLETED,TRUE,My Life as a Loser,"Taejun Pak,SW Jeon","My life was ruined after you bullied me in high school. So why do you get to be happy and successful? I??ll give you a taste of your own medicine! Now you??ll see what it felt like to be me... And you better be ready to pay the price if you want to return to your own body.
","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",87,90,10,89
3340,SLICE_OF_LIFE,80,SUNDAY,32,154189,8.68,5039388,671077,ONGOING,FALSE,Hyperfocus,Kip Trevor,"Scenes from my life as a trans guy (he/him), illustrated!","WEDNESDAY,SUNDAY",80,92,135,90
2404,SF,88,SUNDAY,6,131540,9.6,4977564,551386,COMPLETED,TRUE,Mosquito Wars,JH,"One hundred years after mosquitoes have evolved into the strongest predators on Earth, only 5,000 humans remain. Mankind??s last hope -- an elite team of special soldiers -- races to save the day. Will they obtain the secret research that may give humanity a fighting chance against the mosquitoes before it's too late? ","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",88,99,68,91
364,THRILLER,121,SUNDAY,45,119618,9.13,4957973,210236,COMPLETED,FALSE,DEEP,"TOWOO,Tae Heon Kim",Families that went missing decades ago...started to resurface.,SUNDAY,121,103,119,92
2850,SPORTS,95,SUNDAY,42,172960,9.44,4946491,455122,ONGOING,FALSE,Hanlim Gym,"Hyeseong,Sukjae Lee","Tired of being picked on, Yeongha, the new transfer student, decides to fight back??and discovers he can pack a punch. He soon becomes the top of the food chain, savoring his new title as the toughest guy at school. But he meets his match when Suho Kang, the Champion of the PVP games, single-handedly takes down him and his crew. To earn back his honor, Yeongha decides to join the PVP games. Will he finally get the satisfaction of beating Suho up? Or will he gain something more?
",SUNDAY,95,89,94,93
2615,ACTION,82,SUNDAY,51,189730,9.64,4924070,646633,ONGOING,FALSE,The World is Money and Power,"Dongwoo Han,Dohee Lee","Gunwoo Dahn has vowed to overthrow the status quo of the dysfunctional high school he recently transferred to, where rich and powerful third-generation chaebol heirs call the shots and gambling runs rampant. But does Gunwoo have what it takes to beat the odds, defeat the Taekyeong Oh Family, and restore law and order to his high school?",SUNDAY,82,82,61,94
3265,ACTION,96,SUNDAY,26,298993,9.08,4859537,443035,ONGOING,FALSE,The Warrior Returns,"NARACK,FUNGBACK","After saving one world, warrior Minsu Kim returns to Earth only to find that he??s lost everything... so he decides to destroy the world he used to call home. In his rampage, he kills teenager Jeongsu Park and his family. But instead of dying normally, Jeongsu is transported to another world, where he finds that he's now a warrior himself. After killing the demon king of this alternate world and honing his skills as a warrior, Jeongsu returns to earth, hell-bent on revenge against Minsu. As the two warriors fight with the fate of their country in the balance, who will emerge victorious?",SUNDAY,96,60,122,95
3595,ACTION,92,SUNDAY,21,339147,9.76,4407073,527017,ONGOING,FALSE,Study Group,"Hyungwuk Shin,Seungyeon Ryu","Nicknamed the ??school for future criminals,??Yusung Technical High School isn??t exactly the ideal place to study. A rarity among his peers, Gamin is a student with just one goal: to get into university. At a school where it??s every man for himself, he is rejected from countless study groups before he decides to form his own. When Hankyeong, Gamin??s former tutor, joins his high school in hopes of earning her teacher certification, it seems like they??re both reaching for the impossible. Can they defeat the odds and achieve their dreams?

",SUNDAY,92,54,29,96
3049,SUPER_HERO,91,SUNDAY,38,193835,9.5,4339425,530304,ONGOING,FALSE,SAMADHI,"LEE WONSIK,GGULCHAN","Yibak Kim has only ever dreamed of living an average, peaceful life -- nothing more, nothing less. But when he finds himself with supernatural powers, Yibak must now learn how to hone his new abilities and get used to the fact that, from now on, his life will be anything but normal...",SUNDAY,91,81,86,97
3093,DRAMA,76,SUNDAY,38,152978,9.91,4318354,733926,ONGOING,FALSE,After School Lessons for Unripe Apples,Soonkki,"Mi-ae is just a normal middle school girl trying to survive school. She likes reading comics, the pop group ??The Fire Boys?? and karaoke. One day, a boy she used to know transfers to her school and begins to stir up trouble. No matter what she does, it seems he just doesn??t appreciate her efforts to get to know him. What??s up with that?",SUNDAY,76,93,0,98
2559,FANTASY,84,SUNDAY,14,151853,9.31,4228016,602690,COMPLETED,TRUE,The Girl Who Sees Smells ,Maanchwee,"Now a major (K-Drama) adaptation.
After Sae-ah loses her parents to arson, the accident leaves her with the ability to see smells. Another fire puts her in the path of police officer Pyeongan Kim. Though he doesn??t believe in her ability at first, the two team up to solve cases, and he quickly realizes the power Sae-ah holds. Although her ability helps her solve all kinds of crimes, she??s yet to solve the biggest mystery of them all: who killed her parents?","MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY",84,94,109,99
1925,ACTION,97,SUNDAY,57,148513,9.06,4031825,425850,ONGOING,FALSE,IF,Keon Tan,"Hiroshi is shocked when he finds out that his imaginary friend, Enigami, isn??t so imaginary after all! Then he realizes his beastly companion can battle it out with other kids??imaginary friends, and things start to get even stranger. But when these playground games turn serious and kids start disappearing, Hiroshi realizes that the consequences here might be more real than he first thought??
1912,Swimming Lessons for a Mermaid,ROMANCE,YONGCHAN,WEDNESDAY,101,748426,9.74,50158350,6175823,COMPLETED,False,Choa is a mermaid who can't swim! Discouraged",SUNDAY,97,95,123,100
